gene	winner_norm	winner_raw	rank	degree
TP53	1.000000	8.732949e+2	1	2267
ACTB	0.757295	6.613416e+2	2	1852
AKT1	0.744707	6.503485e+2	3	1820
RPS27A	0.736055	6.427932e+2	4	1545
GAPDH	0.724934	6.330814e+2	5	1937
UBA52	0.711945	6.217379e+2	6	1563
EGFR	0.668739	5.840067e+2	7	1527
CTNNB1	0.662411	5.784798e+2	8	1547
TNF	0.634829	5.543927e+2	9	1561
MYC	0.631813	5.517587e+2	10	1579
UBC	0.624572	5.454355e+2	11	1397
SRC	0.624564	5.454289e+2	12	1451
IL6	0.570450	4.981713e+2	13	1377
UBB	0.558625	4.878445e+2	14	1303
HSP90AA1	0.544453	4.754681e+2	15	1292
INS	0.519481	4.536604e+2	16	1284
H4C6	0.517255	4.517163e+2	17	1064
PRKACA	0.516057	4.506702e+2	18	1131
H3C13	0.509655	4.450794e+2	19	1067
STAT3	0.498968	4.357463e+2	20	1183
IL1B	0.498205	4.350797e+2	21	1220
ALB	0.494393	4.317512e+2	22	1265
H3C12	0.491701	4.293998e+2	23	1050
PRKACB	0.487139	4.254162e+2	24	1052
EP300	0.482913	4.217254e+2	25	1048
HSP90AB1	0.482203	4.211051e+2	26	1153
PRKACG	0.476583	4.161975e+2	27	1028
CD4	0.468813	4.094123e+2	28	1126
H3-3B	0.463482	4.047563e+2	29	1028
BRCA1	0.459286	4.010921e+2	30	1008
ESR1	0.451383	3.941904e+2	31	1096
JUN	0.449133	3.922257e+2	32	1088
IFNG	0.439108	3.834708e+2	33	1049
GNB1	0.438492	3.829328e+2	34	879
FN1	0.436618	3.812965e+2	35	1043
RPS2	0.434542	3.794829e+2	36	891
RPS3	0.433813	3.788469e+2	37	868
HDAC1	0.431702	3.770035e+2	38	949
RPS18	0.430495	3.759493e+2	39	805
RPS11	0.428807	3.744747e+2	40	821
RPS9	0.425642	3.717110e+2	41	818
HSPA4	0.423408	3.697601e+2	42	1041
H3-4	0.415475	3.628322e+2	43	936
BCL2	0.415379	3.627480e+2	44	990
RPL23	0.409659	3.577530e+2	45	810
RPS16	0.409642	3.577380e+2	46	821
RPL4	0.406443	3.549449e+2	47	830
RPS6	0.405524	3.541420e+2	48	780
PTEN	0.402826	3.517859e+2	49	995
RPL11	0.402035	3.510948e+2	50	778
RPL5	0.401263	3.504213e+2	51	786
MED1	0.401193	3.503598e+2	52	784
CDC42	0.399451	3.488388e+2	53	911
MAPK3	0.397878	3.474652e+2	54	943
NFKB1	0.392623	3.428756e+2	55	963
RPS14	0.391661	3.420352e+2	56	761
ARRB1	0.390630	3.411348e+2	57	884
RPS20	0.390486	3.410096e+2	58	803
CALM3	0.388937	3.396567e+2	59	885
